morphid	Spec	Co	Loc	Habitat	Date	Herbarium	drew	group	Ploidy	PetioleL	LfL	LfW	lf w higher lobe mm	lf w lower lobe mm	Lf widest	basalveinL	Lf margin	LfTNoAlan	LfTeeth	lfTLower	lfTUpper	secondaryVeins	PedicelL	Pedicel indumentum	Drupe mat	DrupeL	Calculate, don't measure:	Lf l:w ratio	Lf widest point	Pedicel:petiole l	Basal vein:lf l ratio
m001	Palmer 13113	Harris Co. TX	Houston	Woods along streams	19 March 1918	CAS	FALSE	s	3	6	60	32			13		toothed except base (teeth sparse on acumen)	ca 22 teeth	22				9	evenly crisped-pubescent	very imm			1.88	0.22	1.5	0
m002	D. Isley 3708	Union Co. TN	Norris Reservoir, near Cove Lake	Shoreline	14 July 1944	CAS	FALSE	s	3	10	62	40			12		entire	0	0				11	densely short crisped-hirsute	imm	7		1.55	0.19	1.1	0
m003	Rev. J. Davis 2737	Marion Co. MO	Riverview Park, Hannibal	Miss. Bluffs	20 June 1914	CAS	FALSE	s	3	8	70	28			26		entire	0	0				10	glabrous, sessile-glandular-viscid	imm			2.5	0.37	1.25	0
m004	Steyermark 24853	Cole MO	1.5 miles SE of Jefferson City	At base of slope in alluvial thickets	18 Aug 1937	F	FALSE	s	3	5	48	27			13		entire	0	0				10	crisp-hispid throughout	v imm					2	
m005	L O Williams s. n.	Benton Co Ark	Back Hills about 7 mi E of Rogers on Beaver Lake, alt 400 m	forest edge; mixed pine-oak woods over Mississippian limestone	20 May 1976	F	FALSE	s	3	5	53	31			15		entire	0	0				10	crisp-hispid throughout	v imm			1.71	0.28	2	0
m006	E J Palmer 54604	Newton Co MO	Camp Neh-ka-ga-hah, 2 mi S of Grand Falls	Along low chert bluff	1 Aug 1952	F	FALSE	s	3	5	55	28			18		almost entire	1	1				9	crisp-hispid throughout	imm	7		1.96	0.33	1.8	0
m007	J A Steyermark 8814	Boone Co MO	btwn Pruiff and Harrison	Along limestone bluffs of dry creek	8 June 1933	F	FALSE	s	3	6	49	24			12		entire	0	0				8	pubescent	v imm			2.04	0.24	1.33	0
m008	J W Thieret s. n.	Benton Co MO	hwy C, W of Lincoln		26 Sept 1955	F	FALSE	s	3	5	58	35			19		entire	0	0				8	pubescent	alm mature	7		1.66	0.33	1.6	0
m009	D E Boufford 18383, E W Wood, H Rodriguez, and J Solomon	Chesterfield SC	Just S of jct SC routes 9 and 601 on 601	Roadside thicket	17 May 1976	MO	FALSE	s	3	6	52	27			18		entire	0	0				7	pubescent	very imm	7		1.93	0.35	1.17	0
m010	Adams & Adams 1399	Perry Co PA		Open rocky summit	1-2 July 1934	NA	FALSE	n	3	5	45	27			14	25	toothed	10+13	23				6	hispid	imm	6		1.67	0.31	1.2	0.556
m011	Saunders s. n.	Delaware Co PA		Woods	13 Oct. 1900	NA	FALSE	n	3	6	68	43			25	42	toothed	11+17	28				8	hispid	alm	7		1.58	0.37	1.33	0.618
m012	Saunders s. n.	near Philadelphia PA		Roadside banks	4 Aug. 1900	NA	FALSE	n	3	14	66	50			14	38	few teeth	3+1	4				19	hispid	imm	9		1.32	0.21	2.07	0.576
m013	Tidestrom 9307	nr Buena Vista PA			18 Aug 1914	NA	FALSE	n	3	7	71	55			25	40	toothed	12+12, 15+~10	24				9	hispid	imm	8		1.29	0.35	1.29	0.563
