"sample" "pop1" "pop2" "population"
"1" "MOCC1" 0.823 0.177 "occidentalis"
"2" "OHES1" 0.975 0.025 "occidentalis"
"3" "OHCQ1" 0.892 0.108 "occidentalis"
"4" "COHA7" 0.994 0.006 "occidentalis"
"5" "ARCC1" 0.009 0.991 "laevigata"
"6" "INCB1" 0.991 0.009 "occidentalis"
"7" "INEM1" 0.206 0.794 "laevigata"
"8" "MSWD1" 0.009 0.991 "laevigata"
"9" "MSCS5" 0.01 0.99 "laevigata"
"10" "MSSM1" 0.01 0.99 "laevigata"
"11" "ALCC2" 0.008 0.992 "laevigata"
"12" "ILLG4" 0.39 0.61 "mix"
"13" "ALHR1" 0.008 0.992 "laevigata"
"14" "MOKC1" 0.993 0.007 "occidentalis"
"15" "WB3" 0.993 0.007 "occidentalis"
"16" "ALAC10" 0.069 0.931 "laevigata"
"17" "ILWB6" 0.518 0.482 "mix"
"18" "WB11" 0.992 0.008 "occidentalis"
"19" "MOMA1" 0.018 0.982 "laevigata"
"20" "MSCS3" 0.009 0.991 "laevigata"
"21" "SCSF1" 0.042 0.958 "laevigata"
"22" "MOCC2" 0.865 0.135 "occidentalis"
"23" "OHES2" 0.99 0.01 "occidentalis"
"24" "TXFW11" 0.038 0.962 "laevigata"
"25" "ARGR5" 0.018 0.982 "laevigata"
"26" "OHCQ2" 0.993 0.007 "occidentalis"
"27" "ARWR3" 0.02 0.98 "laevigata"
"28" "COHA8" 0.993 0.007 "occidentalis"
"29" "ARCC6" 0.01 0.99 "laevigata"
"30" "INCB2" 0.992 0.008 "occidentalis"
"31" "INEM4" 0.025 0.975 "laevigata"
"32" "MSWD2" 0.022 0.978 "laevigata"
"33" "MSCS6" 0.007 0.993 "laevigata"
"34" "MSSM2" 0.007 0.993 "laevigata"
"35" "VCN23" 0.992 0.008 "occidentalis"
"36" "ALCC3" 0.007 0.993 "laevigata"
"37" "ILLG7" 0.023 0.977 "laevigata"
"38" "ALHR2" 0.009 0.991 "laevigata"
"39" "MOKC2" 0.992 0.008 "occidentalis"
"40" "ILWB7" 0.024 0.976 "laevigata"
"41" "WB12" 0.992 0.008 "occidentalis"
"42" "MOMA2" 0.057 0.943 "laevigata"
"43" "MSCS7" 0.01 0.99 "laevigata"
"44" "SCSF4" 0.009 0.991 "laevigata"
"45" "OHES3" 0.992 0.008 "occidentalis"
"46" "ARGR9" 0.048 0.952 "laevigata"
"47" "COHA9" 0.993 0.007 "occidentalis"
"48" "ARCC8" 0.02 0.98 "laevigata"
"49" "INCB3" 0.955 0.045 "occidentalis"
"50" "INEM5" 0.991 0.009 "occidentalis"
"51" "MSWD3" 0.007 0.993 "laevigata"
"52" "MSCS10" 0.008 0.992 "laevigata"
"53" "VCN16" 0.992 0.008 "occidentalis"
"54" "ILWB15" 0.396 0.604 "mix"
"55" "MSSM4" 0.016 0.984 "laevigata"
"56" "VCN24" 0.986 0.014 "occidentalis"
"57" "ALCC4" 0.022 0.978 "laevigata"
"58" "ILLG13" 0.006 0.994 "laevigata"
"59" "VCN32" 0.984 0.016 "occidentalis"
"60" "ALHR4" 0.148 0.852 "laevigata"
"61" "MOKC3" 0.988 0.012 "occidentalis"
"62" "WB5" 0.992 0.008 "occidentalis"
"63" "MOGR6" 0.844 0.156 "occidentalis"
"64" "ILLG11" 0.028 0.972 "laevigata"
"65" "MOMA3" 0.344 0.656 "mix"
"66" "MSCS8" 0.013 0.987 "laevigata"
"67" "SCSF6" 0.009 0.991 "laevigata"
"68" "OHES4" 0.948 0.052 "occidentalis"
"69" "COHA2" 0.993 0.007 "occidentalis"
"70" "COHA10" 0.989 0.011 "occidentalis"
"71" "ARCC13" 0.037 0.963 "laevigata"
"72" "INCB4" 0.994 0.006 "occidentalis"
"73" "INEM6" 0.991 0.009 "occidentalis"
"74" "MSWD4" 0.015 0.985 "laevigata"
"75" "MSCS11" 0.008 0.992 "laevigata"
"76" "MSSM5" 0.013 0.987 "laevigata"
"77" "VCN25" 0.993 0.007 "occidentalis"
"78" "ALCC6" 0.028 0.972 "laevigata"
"79" "ILLG14" 0.02 0.98 "laevigata"
"80" "Landsdale3A" 0.98 0.02 "occidentalis"
"81" "ALHR5" 0.008 0.992 "laevigata"
"82" "MOKC4" 0.991 0.009 "occidentalis"
"83" "MOMA4" 0.827 0.173 "occidentalis"
"84" "MOMA5" 0.614 0.386 "mix"
"85" "SCCC4" 0.008 0.992 "laevigata"
"86" "SCSF8" 0.011 0.989 "laevigata"
"87" "OHES5" 0.981 0.019 "occidentalis"
"88" "ARGR13" 0.01 0.99 "laevigata"
"89" "COHA3" 0.993 0.007 "occidentalis"
"90" "ARWR8" 0.009 0.991 "laevigata"
"91" "COHA22" 0.953 0.047 "occidentalis"
"92" "ARCC14" 0.008 0.992 "laevigata"
"93" "INEM7" 0.729 0.271 "occidentalis"
"94" "MSCS13" 0.008 0.992 "laevigata"
"95" "ILWB22" 0.261 0.739 "laevigata"
"96" "MSSM6" 0.008 0.992 "laevigata"
"97" "ALCC7" 0.023 0.977 "laevigata"
