channel,countsA,countsB,sizeA,sizeB,cvA,cvB,rcs,linearity,pg,ploidy,
ARGR1 2017-08-29 347.LMD,2819.24390816281,1621.25268480944,53.1726892387234,143.834708753459,0.173388613318876,0.0331420178556,4.20870950320288,1.79769626388238,1.10903737420982,,
ARGR10 2017-08-29 356.LMD,456.576182477114,1472.28081616306,62.9963522075381,161.705649566317,0.063552182685092,0.023193411619343,1.36717051454499,2.5,1.16872265829592,,
ARGR11 2017-08-29 357.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ARGR12 2017-08-29 358.LMD,2200.79870625874,1696.35929861533,69.8716204998988,187.612628315117,0.150752190601972,0.026604588831209,3.44795996056758,2.13864886452126,1.11727479851529,,
ARGR13 2017-08-29 359.LMD,1364.27104479637,1426.27684914236,63.5912991856059,161.868752969735,0.070761149135738,0.031466539336162,1.77646223320919,2.37886125193428,1.17857149114189,,
ARGR14 2017-08-29 360.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ARGR15 2017-08-29 361.LMD,794.242883981376,2316.57139525343,69.308844326656,184.219668969874,0.112633511715899,0.02988963304577,2.76939291280239,NA,1.12868801764035,,
ARGR16 2017-08-29 362.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ARGR17 2017-08-29 363.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ARGR18 2017-08-29 364.LMD,959.249538964293,2395.69203223406,63.2219148450172,166.730027685691,0.074983570178559,0.031679393631238,1.66473566966824,2.5,1.13756200468339,,
ARGR19 2017-08-29 365.LMD,1700.91717466672,1798.42233555243,63.330146832044,171.938580146482,0.054117666040624,0.027322166954197,3.69440079556843,2.10296750527589,1.1049901676184,,
ARGR2 2017-08-29 348.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ARGR20 2017-08-29 366.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ARGR3 2017-08-29 349.LMD,735.915477542423,978.171052735189,65.7221612256169,172.465407953706,0.065791973009363,0.026386939800335,1.32763267145157,2.4589981571409,1.14322336297013,,
ARGR4 2017-08-29 350.LMD,1513.12144601974,1583.89232696782,68.5228719217224,180.4544420366,0.107579695076737,0.029055378089487,1.82984334369216,2.08754314454591,1.13917182334295,,
ARGR5 2017-08-29 351.LMD,837.170790659736,2022.21502778905,66.7192716378432,178.328723058587,0.081643565163732,0.035078416991758,2.24288706552616,NA,1.12240928707694,,
ARGR6 2017-08-29 352.LMD,845.147165740739,1798.78578257077,68.7620095725363,170.609375269664,0.066873866912924,0.026324798667411,1.74014080350888,NA,1.20911308884143,,
ARGR7 2017-08-29 353.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ARGR8 2017-08-29 354.LMD,1193.36341350167,1563.84900430171,65.4763943811981,156.108510783985,0.07853336441016,0.029762292920194,1.50968751188222,2.01679074722678,1.25828618924822,,
ARGR9 2017-08-29 355.LMD,744.372415365198,1309.26520127668,67.8622313020881,178.629915964306,0.09761937139958,0.025385318430025,1.51512060369376,2.26228646195719,1.13971219662302,,
MOCC1+S 2018-04-25 394.LMD,730.002905519562,2109.07252396116,84.8303267601631,171.355868858687,0.146660740690688,0.047494457306129,0.969517334582796,NA,1.23763381034414,,
MOCC2+S 2018-04-25 395.LMD,478.419802546054,2172.47165234929,84.0890870612553,180.084726881104,0.092230555319074,0.044185876683145,1.11300603607017,1.90953469150953,1.16735450748098,,
MOCC3+S 2018-04-25 396.LMD,534.737071627615,752.178370913325,111.003841079541,167.49372811829,0.470706144781864,0.040425015019972,1.01816191628168,NA,1.65683578613084,triploid,
MOCC4+S 2018-04-25 397.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
MOCC5+S 2018-04-25 398.LMD,210.35502682216,1094.87263414082,128.458948297073,172.916946162226,0.128851865542042,0.04405120565853,1.19317801871904,NA,1.85723480474487,triploid,
MOCC6+S 2018-04-25 399.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
MOCC7+S 2018-04-25 400.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
MOCC8+S 2018-04-25 401.LMD,1652.7989213696,1992.60424435815,124.374837996728,175.851469543929,0.346332971670402,0.046919152999908,1.76334015102289,NA,1.76818024778659,triploid,
mocc8+s 2018-04-25 403.LMD,144.470059294133,2418.39084786634,129.201863511816,175.577269515189,0.033494020599433,0.03822088934199,4.54142797437251,NA,1.83967241130605,triploid,
