num,sample,population,species,ploidy,Genotype,Latitude,Longitude
1,PPP1,PPP,Pumila,triploid,,41.956749,-82.516898
2,TXFW1,TXFW,Pumila,triploid,,32.837848,-97.476646
3,MOCC1,MOCC,Pumila,diploid,,37.16991,-91.12621
4,OHES1,OHES,Occidentalis,diploid,,41.42536,-82.64314
5,PPP9,PPP,Pumila,triploid,,41.956749,-82.516898
6,OHCQ1,OHCQ,Occidentalis,diploid,,41.38885,-82.83069
7,PPP17,PPP,Pumila,triploid,,41.956749,-82.516898
8,MIWA1,MIWA,Pumila,triploid,,42.39036,-84.05453
9,COHA7,COHA,Occidentalis,diploid,,41.952239,-82.515201
10,PPP25,PPP,Pumila,triploid,,41.956749,-82.516898
11,ARCC1,ARCC,Pumila,diploid,,35.934342,-91.911572
12,INCB1,INCB,Occidentalis,diploid,,41.63049,-85.08357
13,GC5,GC,Pumila,triploid,,44.22311,-77.586724
14,PPP33,PPP,Pumila,triploid,,41.956749,-82.516898
15,INEM1,INEM,Laevigata,diploid,,38.78619,-87.46921
16,MSWD1,MSWD,Laevigata,diploid,,34.662829,-89.463956
17,KYHR10,KYHR,Pumila,triploid,,37.82217,-84.16229
18,VCN6,VCN,Pumila,triploid,,41.956749,-82.516898
19,ILGG5,ILGG,Pumila,triploid,,37.598331,-88.381962
20,MSCS5,MSCS,Laevigata,diploid,,32.105878,-88.697003
21,PASH5,PASH,Pumila,triploid,,39.73419,-75.3499
22,ILWB5,ILWB,Unknown,triploid,,37.373705,-88.925713
23,MSSM1,MSSM,Pumila,diploid,,32.87059,-88.7205
24,VAWR6,VAWR,Pumila,triploid,,36.63492,-83.52171
25,ALCC2,ALCC,Laevigata,diploid,,31.95625,-86.85286
26,ILLG4,ILLG,Pumila,diploid,,37.68365,-89.39614
27,Landsdale1A,Landsdale,Pumila,triploid,,44.25655,-77.12543
28,ALHR1,ALHR,Laevigata,diploid,,31.72516,-86.47214
29,MOKC1,MOKC,Occidentalis,diploid,,38.500219,-90.689503
30,WB3,WB,Pumila,diploid,,41.956749,-82.516898
31,ALAC10,ALAC,Pumila,diploid,,31.86926,-86.2607
32,MOGR1,MOGR,Pumila,triploid,,38.50395,-90.70229
33,ILWB6,ILWB,Laevigata,diploid,,37.373705,-88.925713
34,WB11,WB,Pumila,diploid,,41.956749,-82.516898
35,MOMA1,MOMA,Laevigata,diploid,,38.37909,-90.3941
36,SCCC1,SCCC,Pumila,triploid,,34.335226,-82.028893
37,ID-ID3,ID-ID,Pumila,triploid,,41.74501,-87.08798
38,MSCS3,MSCS,Laevigata,diploid,,32.105878,-88.697003
39,MOSJ1,MOSJ,Pumila,triploid,,37.81934,-90.53063
40,SCSF1,SCSF,Laevigata,diploid,,34.542691,-81.761763
41,PPP2,PPP,Pumila,triploid,,41.956749,-82.516898
42,MOCC2,MOCC,Pumila,diploid,,37.16991,-91.12621
43,OHES2,OHES,Occidentalis,diploid,,41.42536,-82.64314
44,PPP10,PPP,Pumila,triploid,,41.956749,-82.516898
45,TXFW11,TXFW,Pumila,diploid,,32.837848,-97.476646
46,ARGR5,ARGR,Pumila,diploid,,36.28403,-91.18691
47,OHCQ2,OHCQ,Occidentalis,diploid,,41.38885,-82.83069
48,PPP18,PPP,Pumila,triploid,,41.956749,-82.516898
49,ARWR3,ARWR,Pumila,diploid,,35.91122,-91.928
50,MIWA2,MIWA,Pumila,triploid,,42.39036,-84.05453
51,COHA8,COHA,Occidentalis,diploid,,41.952239,-82.515201
52,PPP26,PPP,Pumila,triploid,,41.956749,-82.516898
53,ARCC6,ARCC,Pumila,diploid,,35.934342,-91.911572
54,INCB2,INCB,Occidentalis,diploid,,41.63049,-85.08357
55,GC6,GC,Pumila,triploid,,44.22311,-77.586724
56,PPP34,PPP,Pumila,triploid,,41.956749,-82.516898
57,INEM4,INEM,Laevigata,diploid,,38.78619,-87.46921
58,MSWD2,MSWD,Pumila,diploid,,34.662829,-89.463956
59,KYHR11,KYHR,Pumila,triploid,,37.82217,-84.16229
60,ILGG6,ILGG,Pumila,triploid,,37.598331,-88.381962
61,MSCS6,MSCS,Pumila,diploid,,32.105878,-88.697003
62,PASH6,PASH,Pumila,triploid,,39.73419,-75.3499
63,ILWB13,ILWB,Pumila,triploid,,37.373705,-88.925713
64,MSSM2,MSSM,Pumila,diploid,,32.87059,-88.7205
65,VCN23,VCN,Pumila,diploid,,41.956749,-82.516898
66,ALCC3,ALCC,Laevigata,diploid,,31.95625,-86.85286
67,ILLG7,ILLG,Laevigata,diploid,,37.68365,-89.39614
68,Landsdale1B,Landsdale,Pumila,triploid,,44.25655,-77.12543
69,ALHR2,ALHR,Laevigata,diploid,,31.72516,-86.47214
70,MOKC2,MOKC,Occidentalis,diploid,,38.500219,-90.689503
71,Tws16-7,Tws,Pumila,triploid,,37.38912,-80.86716
72,WB4,WB,Pumila,triploid,,41.956749,-82.516898
73,ALAC14,ALAC,Pumila,triploid,,31.86926,-86.2607
74,MOGR5,MOGR,Pumila,triploid,,38.50395,-90.70229
75,ILWB7,ILWB,Unknown,diploid,,37.373705,-88.925713
76,WB12,WB,Pumila,diploid,,41.956749,-82.516898
77,MOMA2,MOMA,Laevigata,diploid,,38.37909,-90.3941
78,SCCC2,SCCC,Occidentalis,triploid,,34.335226,-82.028893
79,ID-ID4,ID-ID,Pumila,triploid,,41.74501,-87.08798
80,MSCS7,MSCS,Unknown,diploid,,32.105878,-88.697003
81,MOSJ11,MOSJ,Pumila,tetraploid,,37.81934,-90.53063
82,SCSF4,SCSF,Laevigata,diploid,,34.542691,-81.761763
83,PPP3,PPP,Pumila,triploid,,41.956749,-82.516898
84,MOCC3,MOCC,Pumila,triploid,,37.16991,-91.12621
85,OHES3,OHES,Occidentalis,diploid,,41.42536,-82.64314
86,PPP11,PPP,Pumila,triploid,,41.956749,-82.516898
87,ARGR9,ARGR,Pumila,diploid,,36.28403,-91.18691
88,OHCQ3,OHCQ,Pumila,triploid,,41.38885,-82.83069
89,PPP19,PPP,Pumila,triploid,,41.38885,-82.83069
90,TexasDR,TXFW,Pumila,diploid,,32.837848,-97.476646
91,MIWA4,MIWA,Pumila,triploid,,42.39036,-84.05453
92,COHA9,COHA,Occidentalis,diploid,,41.952239,-82.515201
93,PPP27,PPP,Pumila,triploid,,41.956749,-82.516898
94,ARCC8,ARCC,Pumila,diploid,,35.934342,-91.911572
95,INCB3,INCB,Occidentalis,diploid,,41.63049,-85.08357
96,GC8,GC,Pumila,triploid,,44.22311,-77.586724
97,PPP35,PPP,Pumila,triploid,,41.956749,-82.516898
98,INEM5,INEM,Occidentalis,diploid,,38.78619,-87.46921
99,MSWD3,MSWD,Pumila,diploid,,34.662829,-89.463956
100,KYHR12,KYHR,Pumila,triploid,,37.82217,-84.16229
101,VCN8,VCN,Pumila,triploid,,41.956749,-82.516898
102,ILGG7,ILGG,Pumila,triploid,,37.598331,-88.381962
103,MSCS10,MSCS,Pumila,diploid,,32.105878,-88.697003
104,PASH7,PASH,Pumila,triploid,,39.73419,-75.3499
105,VCN16,VCN,Pumila,diploid,,41.956749,-82.516898
106,ILWB15,ILWB,Pumila,diploid,,37.373705,-88.925713
107,MSSM4,MSSM,Pumila,diploid,,32.87059,-88.7205
108,VAWR11,VAWR,Pumila,triploid,,36.63492,-83.52171
109,VCN24,VCN,Pumila,diploid,,41.956749,-82.516898
110,ALCC4,ALCC,Laevigata,diploid,,31.95625,-86.85286
111,ILLG13,ILLG,Pumila,diploid,,37.68365,-89.39614
112,Landsdale1C,Landsdale,Pumila,triploid,,44.25655,-77.12543
113,VCN32,VCN,Pumila,diploid,,41.956749,-82.516898
114,ALHR4,ALHR,Laevigata,diploid,,31.72516,-86.47214
115,MOKC3,MOKC,Occidentalis,diploid,,38.500219,-90.689503
116,PtA1A,PtA,Pumila,triploid,,44.157764,-77.29982
117,WB5,WB,Pumila,diploid,,41.956749,-82.516898
118,ALAC16,ALAC,Pumila,triploid,,31.86926,-86.2607
119,MOGR6,MOGR,Unknown,diploid,,38.50395,-90.70229
120,ILLG11,ILLG,Laevigata,diploid,,37.68365,-89.39614
121,WB13,WB,Pumila,triploid,,41.956749,-82.516898
122,MOMA3,MOMA,Laevigata,diploid,,38.37909,-90.3941
123,SCCC3,SCCC,Occidentalis,triploid,,34.335226,-82.028893
124,ID-ID5,ID-ID,Pumila,triploid,,41.74501,-87.08798
125,MSCS8,MSCS,Pumila,diploid,,32.105878,-88.697003
126,MOSJ12,MOSJ,Pumila,triploid,,37.81934,-90.53063
127,SCSF6,SCSF,Pumila,diploid,,34.542691,-81.761763
128,PPP4,PPP,Pumila,triploid,,41.956749,-82.516898
129,MOCC4,MOCC,Pumila,triploid,,37.16991,-91.12621
130,OHES4,OHES,Occidentalis,diploid,,41.42536,-82.64314
131,PPP12,PPP,Pumila,triploid,,41.956749,-82.516898
132,TXFW13,TXFW,Pumila,triploid,,32.837848,-97.476646
133,COHA2,COHA,Occidentalis,diploid,,41.952239,-82.515201
134,PPP20,PPP,Pumila,triploid,,41.956749,-82.516898
