1,MOCC1,50,3,0.801,0.125,0.006,0.067
2,OHES1,50,3,0.969,0.017,0.005,0.010
3,OHCQ1,50,3,0.610,0.015,0.358,0.016
4,COHA7,50,3,0.989,0.003,0.004,0.004
5,ARCC1,50,1,0.005,0.969,0.005,0.021
6,INCB1,50,3,0.958,0.005,0.030,0.007
7,INEM1,50,1,0.032,0.656,0.303,0.009
8,MSWD1,62,1,0.004,0.930,0.006,0.060
9,MSCS5,50,1,0.005,0.970,0.014,0.012
10,MSSM1,50,1,0.005,0.974,0.012,0.009
11,ALCC2,50,1,0.004,0.690,0.020,0.287
12,ILLG4,56,2,0.196,0.556,0.227,0.021
13,ALHR1,50,1,0.004,0.971,0.008,0.017
14,MOKC1,50,3,0.984,0.003,0.007,0.005
15,WB3,50,3,0.986,0.004,0.005,0.005
16,ALAC10,50,1,0.009,0.061,0.006,0.925
17,ILWB6,56,2,0.478,0.317,0.013,0.191
18,WB11,50,3,0.984,0.004,0.007,0.005
19,MOMA1,50,1,0.009,0.974,0.004,0.013
20,MSCS3,50,1,0.004,0.972,0.016,0.007
21,SCSF1,50,1,0.009,0.700,0.179,0.113
22,MOCC2,50,3,0.869,0.095,0.005,0.031
23,OHES2,50,3,0.979,0.006,0.009,0.006
24,TXFW11,50,1,0.031,0.932,0.005,0.032
25,ARGR5,50,1,0.006,0.828,0.020,0.147
26,OHCQ2,50,3,0.988,0.004,0.004,0.004
27,ARWR3,50,1,0.009,0.873,0.025,0.093
28,COHA8,50,3,0.987,0.004,0.004,0.006
29,ARCC6,56,1,0.005,0.981,0.004,0.009
30,INCB2,50,3,0.981,0.004,0.007,0.008
31,INEM4,50,1,0.018,0.956,0.005,0.021
32,MSWD2,50,1,0.008,0.161,0.024,0.807
33,MSCS6,50,1,0.004,0.971,0.007,0.018
34,MSSM2,50,1,0.003,0.980,0.005,0.012
35,VCN23,50,3,0.985,0.004,0.006,0.005
36,ALCC3,50,1,0.003,0.978,0.006,0.012
37,ILLG7,56,1,0.012,0.470,0.007,0.511
38,ALHR2,50,1,0.005,0.716,0.031,0.249
39,MOKC2,50,3,0.986,0.004,0.005,0.005
40,ILWB7,50,1,0.016,0.872,0.005,0.107
41,WB12,50,3,0.983,0.004,0.008,0.005
42,MOMA2,50,1,0.041,0.891,0.005,0.064
43,MSCS7,50,1,0.005,0.963,0.005,0.027
44,SCSF4,50,1,0.005,0.968,0.017,0.010
45,OHES3,56,3,0.985,0.004,0.006,0.005
46,ARGR9,50,1,0.011,0.120,0.005,0.864
47,COHA9,50,3,0.987,0.003,0.005,0.005
48,ARCC8,50,1,0.012,0.460,0.020,0.508
49,INCB3,50,3,0.851,0.015,0.042,0.092
50,INEM5,50,3,0.977,0.004,0.013,0.006
51,MSWD3,50,1,0.004,0.958,0.021,0.018
52,MSCS10,50,1,0.004,0.983,0.004,0.009
53,VCN16,50,3,0.982,0.004,0.007,0.006
54,ILWB15,56,2,0.326,0.656,0.008,0.009
55,MSSM4,50,1,0.006,0.976,0.005,0.014
56,VCN24,50,3,0.980,0.007,0.006,0.007
57,ALCC4,56,1,0.009,0.343,0.012,0.636
58,ILLG13,50,1,0.003,0.981,0.006,0.010
59,VCN32,56,3,0.977,0.008,0.006,0.010
60,ALHR4,62,1,0.014,0.010,0.009,0.967
61,MOKC3,62,3,0.979,0.006,0.008,0.008
62,WB5,50,3,0.984,0.004,0.006,0.005
63,MOGR6,56,3,0.845,0.100,0.012,0.043
64,ILLG11,50,1,0.026,0.881,0.034,0.059
65,MOMA3,50,2,0.097,0.096,0.680,0.127
66,MSCS8,50,1,0.007,0.970,0.009,0.014
67,SCSF6,56,1,0.004,0.964,0.014,0.017
68,OHES4,50,3,0.940,0.045,0.004,0.011
69,COHA2,50,3,0.987,0.003,0.005,0.005
70,COHA10,50,3,0.978,0.005,0.010,0.006
71,ARCC13,56,1,0.022,0.710,0.007,0.261
72,INCB4,50,3,0.988,0.003,0.004,0.004
73,INEM6,50,3,0.972,0.004,0.019,0.005
74,MSWD4,50,1,0.006,0.248,0.037,0.709
75,MSCS11,50,1,0.004,0.972,0.009,0.015
76,MSSM5,50,1,0.006,0.978,0.004,0.012
77,VCN25,50,3,0.986,0.004,0.005,0.005
78,ALCC6,50,1,0.026,0.908,0.006,0.060
79,ILLG14,56,1,0.012,0.887,0.012,0.088
80,Landsdale3A,50,3,0.969,0.011,0.009,0.011
81,ALHR5,56,1,0.004,0.982,0.005,0.009
82,MOKC4,50,3,0.984,0.004,0.006,0.006
83,MOMA4,50,3,0.799,0.119,0.024,0.058
84,MOMA5,50,2,0.575,0.317,0.020,0.089
85,SCCC4,50,1,0.004,0.942,0.017,0.036
86,SCSF8,50,1,0.006,0.962,0.012,0.019
87,OHES5,50,3,0.969,0.009,0.011,0.011
88,ARGR13,50,1,0.005,0.708,0.012,0.275
89,COHA3,50,3,0.985,0.004,0.007,0.005
90,ARWR8,50,1,0.005,0.467,0.015,0.514
91,COHA22,50,3,0.945,0.025,0.005,0.025
92,ARCC14,50,1,0.004,0.982,0.006,0.009
93,INEM7,50,3,0.658,0.251,0.005,0.086
94,MSCS13,50,1,0.004,0.922,0.060,0.015
95,ILWB22,50,1,0.193,0.667,0.118,0.022
96,MSSM6,50,1,0.004,0.943,0.007,0.046
97,ALCC7,56,1,0.010,0.909,0.023,0.057
98,ILLG15,50,1,0.008,0.964,0.004,0.024
99,Landsdale3B,50,3,0.968,0.011,0.008,0.013
100,VCN34,56,3,0.986,0.004,0.005,0.005
101,MOKC5,50,3,0.985,0.004,0.005,0.006
102,INEM14,50,2,0.365,0.550,0.067,0.018
103,ALAC18,50,1,0.005,0.061,0.032,0.903
104,MOGR10,50,3,0.980,0.007,0.006,0.008
105,MOMA20,50,2,0.353,0.229,0.109,0.308
106,MOMA8,50,1,0.006,0.938,0.011,0.045
107,SCSF9,50,1,0.007,0.945,0.006,0.043
108,OHES6,50,3,0.979,0.009,0.005,0.007
109,ARGR15,50,1,0.016,0.964,0.004,0.016
110,COHA4,50,3,0.971,0.005,0.015,0.009
111,ARWR12,50,1,0.026,0.926,0.019,0.029
112,ARCC15,50,1,0.016,0.762,0.023,0.199
113,VCN3,50,3,0.966,0.005,0.022,0.006
114,INEM9,50,1,0.024,0.252,0.006,0.718
115,MSWD6,50,1,0.006,0.691,0.081,0.222
116,MSCS14,50,1,0.005,0.980,0.006,0.009
117,MSSM8,56,1,0.008,0.613,0.142,0.237
118,VCN27,50,3,0.984,0.004,0.006,0.006
119,ALCC8,50,1,0.008,0.916,0.011,0.065
120,MOKC7,50,3,0.979,0.005,0.009,0.007
121,INEM15,50,1,0.094,0.231,0.017,0.658
122,ALAC20,50,1,0.008,0.218,0.119,0.654
123,MOMA14,50,2,0.421,0.405,0.013,0.161
124,SCCC14,56,1,0.009,0.536,0.007,0.448
